station_id,name,lat,lon,state,elevation,total_days,observed_days,pct_observed,first_date,last_date
3013,LULUIGUI,-18.145,124.028,WA,,9647,0,0.0,2000-01-01,2026-05-30
3014,GOGO STATION,-18.291,125.587,WA,,9647,8533,88.5,2000-01-01,2026-05-30
3015,MEDA,-17.368,123.996,WA,,9647,2846,29.5,2000-01-01,2026-05-30
3016,MOUNT ANDERSON,-18.036,123.929,WA,,9647,0,0.0,2000-01-01,2026-05-30
3017,MOUNT HOUSE STATION,-17.052,125.705,WA,,9647,6542,67.8,2000-01-01,2026-05-30
3018,MYROODAH,-18.122,124.269,WA,,9647,7823,81.1,2000-01-01,2026-05-30
3019,NAPIER DOWNS,-17.331,124.817,WA,,9647,8986,93.1,2000-01-01,2026-05-30
3021,NOONKANBAH,-18.488,124.823,WA,,9647,0,0.0,2000-01-01,2026-05-30
3022,QUANBUN DOWNS,-18.382,125.227,WA,,9647,6023,62.4,2000-01-01,2026-05-30
3023,ROEBUCK PLAINS,-17.931,122.472,WA,,9647,3822,39.6,2000-01-01,2026-05-30
3024,UDIALLA,-17.946,123.738,WA,,9647,9591,99.4,2000-01-01,2026-05-30
3026,YEEDA,-17.615,123.648,WA,,9647,5439,56.4,2000-01-01,2026-05-30
3027,FOSSIL DOWNS,-18.139,125.776,WA,,9647,9566,99.2,2000-01-01,2026-05-30
3028,ANNA PLAINS,-19.254,121.486,WA,,9647,9478,98.2,2000-01-01,2026-05-30
3029,FRAZIER DOWNS,-18.798,121.713,WA,,9647,0,0.0,2000-01-01,2026-05-30
3030,BIDYADANGA,-18.684,121.78,WA,,9647,9098,94.3,2000-01-01,2026-05-30
3032,DERBY AERO,-17.371,123.661,WA,,9647,9377,97.2,2000-01-01,2026-05-30
3033,BLINA,-17.747,124.528,WA,,9647,6466,67.0,2000-01-01,2026-05-30
3040,CAMBALLIN,-17.99,124.192,WA,,9647,7624,79.0,2000-01-01,2026-05-30
3043,CHRISTMAS CREEK HOMESTEAD,-18.877,125.921,WA,,9647,5667,58.7,2000-01-01,2026-05-30
3051,MOUNT BARNETT,-16.737,125.909,WA,,9647,8586,89.0,2000-01-01,2026-05-30
3052,MOUNT HART STATION,-16.821,124.915,WA,,9647,5333,55.3,2000-01-01,2026-05-30
3056,THANGOO,-18.179,122.358,WA,,9647,4113,42.6,2000-01-01,2026-05-30
3057,CYGNET BAY,-16.451,123.009,WA,,9647,8951,92.8,2000-01-01,2026-05-30
3059,NITA DOWNS,-19.086,121.676,WA,,9647,3425,35.5,2000-01-01,2026-05-30
3063,CHARNLEY RIVER,-16.716,125.46,WA,,9647,8447,87.6,2000-01-01,2026-05-30
3068,DAMPIER DOWNS,-18.508,123.456,WA,,9647,8944,92.7,2000-01-01,2026-05-30
3069,KOOLAN ISLAND,-16.131,123.776,WA,,9647,0,0.0,2000-01-01,2026-05-30
3078,CADJEBUT,-18.727,125.987,WA,,9647,1389,14.4,2000-01-01,2026-05-30
3080,CURTIN AERO,-17.577,123.83,WA,,9647,9403,97.5,2000-01-01,2026-05-30
3093,FITZROY CROSSING AERO,-18.181,125.562,WA,,9647,9558,99.1,2000-01-01,2026-05-30
3096,WEST ROEBUCK,-17.896,122.312,WA,,9647,0,0.0,2000-01-01,2026-05-30
4000,ABYDOS,-21.417,118.933,WA,,9647,0,0.0,2000-01-01,2026-05-30
4001,WOODBROOK,-20.9,117.117,WA,,9647,0,0.0,2000-01-01,2026-05-30
4002,PORT HEDLAND POST OFFICE,-20.314,118.574,WA,,9647,0,0.0,2000-01-01,2026-05-30
4003,BALFOUR DOWNS,-22.8,120.862,WA,,9647,0,0.0,2000-01-01,2026-05-30
4004,BAMBOO CREEK,-20.926,120.207,WA,,9647,8763,90.8,2000-01-01,2026-05-30
4005,BAMBOO SPRINGS,-22.052,119.632,WA,,9647,0,0.0,2000-01-01,2026-05-30
4006,BONNEY DOWNS,-22.183,119.935,WA,,9647,9435,97.8,2000-01-01,2026-05-30
4007,BOODARIE,-20.4,118.467,WA,,9647,0,0.0,2000-01-01,2026-05-30
4008,CARLINDIE,-20.639,119.243,WA,,9647,3835,39.8,2000-01-01,2026-05-30
4009,COONGAN STATION,-20.683,119.667,WA,,9647,0,0.0,2000-01-01,2026-05-30
4010,COOYA POOYA,-21.033,117.133,WA,,9647,0,0.0,2000-01-01,2026-05-30
4011,CORUNNA DOWNS,-21.467,119.833,WA,,9647,0,0.0,2000-01-01,2026-05-30
4012,DE GREY,-20.176,119.191,WA,,9647,4028,41.8,2000-01-01,2026-05-30
4013,ETTRICK,-20.517,119.667,WA,,9647,0,0.0,2000-01-01,2026-05-30
4014,EGINBAH,-20.85,119.767,WA,,9647,0,0.0,2000-01-01,2026-05-30
4015,HILLSIDE STATION,-21.722,119.399,WA,,9647,4039,41.9,2000-01-01,2026-05-30
4016,INDEE,-20.787,118.597,WA,,9647,8896,92.2,2000-01-01,2026-05-30
4019,MANDORA,-19.742,120.843,WA,,9647,9474,98.2,2000-01-01,2026-05-30
4020,MARBLE BAR COMPARISON,-21.176,119.75,WA,,9647,2433,25.2,2000-01-01,2026-05-30
4021,MOUNT EDGAR,-21.312,120.059,WA,,9647,0,0.0,2000-01-01,2026-05-30
4022,MUCCAN,-20.633,120.086,WA,,9647,3637,37.7,2000-01-01,2026-05-30
4023,MULYIE,-20.462,119.519,WA,,9647,1236,12.8,2000-01-01,2026-05-30
4024,MUNDABULLANGANA,-20.519,118.06,WA,,9647,4681,48.5,2000-01-01,2026-05-30
4025,NIMINGARRA,-20.5,119.8,WA,,9647,0,0.0,2000-01-01,2026-05-30
4026,NOREENA DOWNS,-22.291,120.176,WA,,9647,9505,98.5,2000-01-01,2026-05-30
4027,NULLAGINE,-21.886,120.11,WA,,9647,573,5.9,2000-01-01,2026-05-30
4028,PARDOO STATION,-20.108,119.581,WA,,9647,8203,85.0,2000-01-01,2026-05-30
4030,PILGA,-21.4,119.4,WA,,9647,0,0.0,2000-01-01,2026-05-30
4032,PORT HEDLAND AIRPORT,-20.372,118.632,WA,,9647,9314,96.5,2000-01-01,2026-05-30
4033,PYRAMID STATION,-21.056,117.444,WA,,9647,6565,68.1,2000-01-01,2026-05-30
4035,ROEBOURNE,-20.777,117.146,WA,,9647,5485,56.9,2000-01-01,2026-05-30
4036,STRELLEY,-20.468,119.056,WA,,9647,6712,69.6,2000-01-01,2026-05-30
4037,TALGA TALGA,-21.05,120.0,WA,,9647,0,0.0,2000-01-01,2026-05-30
4038,WALLAREENYA,-20.748,118.817,WA,,9647,7080,73.4,2000-01-01,2026-05-30
4039,WARAMBIE,-20.948,117.373,WA,,9647,7903,81.9,2000-01-01,2026-05-30
4040,WARRALONG,-20.647,119.587,WA,,9647,0,0.0,2000-01-01,2026-05-30
4041,WARRAWAGINE,-20.851,120.696,WA,,9647,8871,92.0,2000-01-01,2026-05-30
4042,WHIM CREEK,-20.841,117.835,WA,,9647,1474,15.3,2000-01-01,2026-05-30
4043,REDMONT,-21.993,119.013,WA,,9647,420,4.4,2000-01-01,2026-05-30
4045,ABYDOS WOODSTOCK,-21.62,118.955,WA,,9647,0,0.0,2000-01-01,2026-05-30
4046,YARRIE,-20.674,120.204,WA,,9647,7453,77.3,2000-01-01,2026-05-30
4047,TABBA TABBA,-20.833,118.9,WA,,9647,0,0.0,2000-01-01,2026-05-30
4054,COSSACK,-20.678,117.189,WA,,9647,2821,29.2,2000-01-01,2026-05-30
4057,LALLA ROOKH,-20.883,119.15,WA,,9647,0,0.0,2000-01-01,2026-05-30
4059,MALLINA,-20.882,118.031,WA,,9647,5198,53.9,2000-01-01,2026-05-30
4068,WALLAL DOWNS,-19.779,120.642,WA,,9647,8309,86.1,2000-01-01,2026-05-30
4074,GOLDSWORTHY,-20.342,119.521,WA,,9647,0,0.0,2000-01-01,2026-05-30
4079,YANDEE,-21.363,118.878,WA,,9647,0,0.0,2000-01-01,2026-05-30
4082,CAPE LAMBERT,-20.615,117.163,WA,,9647,1086,11.3,2000-01-01,2026-05-30
4083,KARRATHA AERO,-20.71,116.774,WA,,9647,9564,99.1,2000-01-01,2026-05-30
4084,SHAY GAP,-20.496,120.167,WA,,9647,0,0.0,2000-01-01,2026-05-30
4086,SHERLOCK,-20.896,117.645,WA,,9647,6513,67.5,2000-01-01,2026-05-30
4090,ROEBOURNE AERO,-20.759,117.158,WA,,9647,8693,90.1,2000-01-01,2026-05-30
4093,STRELLEY PUMPING STATION,-20.329,119.188,WA,,9647,425,4.4,2000-01-01,2026-05-30
4097,DAMPIER PORT,-20.617,116.752,WA,,9647,610,6.3,2000-01-01,2026-05-30
4106,MARBLE BAR,-21.176,119.75,WA,,9647,8814,91.4,2000-01-01,2026-05-30
5000,BOOLALOO,-22.583,115.85,WA,,9647,0,0.0,2000-01-01,2026-05-30
5001,COOLAWANYAH,-21.805,117.806,WA,,9647,8694,90.1,2000-01-01,2026-05-30
5003,ETHEL CREEK,-22.897,120.173,WA,,9647,5553,57.6,2000-01-01,2026-05-30
5004,EXMOUTH GULF,-22.376,114.111,WA,,9647,7690,79.7,2000-01-01,2026-05-30
5005,HAMERSLEY,-22.279,117.677,WA,,9647,5177,53.7,2000-01-01,2026-05-30
5006,KOOLINE,-22.912,116.29,WA,,9647,9476,98.2,2000-01-01,2026-05-30
5007,LEARMONTH AIRPORT,-22.241,114.097,WA,,9647,9378,97.2,2000-01-01,2026-05-30
5008,MARDIE,-21.191,115.98,WA,,9647,9536,98.8,2000-01-01,2026-05-30
5009,MARILLANA,-22.633,119.408,WA,,9647,6650,68.9,2000-01-01,2026-05-30
5010,MARRILLA,-22.974,114.46,WA,,9647,0,0.0,2000-01-01,2026-05-30
5012,MILLSTREAM,-21.591,117.066,WA,,9647,8417,87.2,2000-01-01,2026-05-30
5013,MINDEROO,-21.997,115.046,WA,,9647,8020,83.1,2000-01-01,2026-05-30
5014,MOUNT FLORANCE,-21.787,117.865,WA,,9647,9290,96.3,2000-01-01,2026-05-30
5015,MULGA DOWNS,-22.104,118.47,WA,,9647,5763,59.7,2000-01-01,2026-05-30
5016,ONSLOW,-21.636,115.112,WA,,9647,4566,47.3,2000-01-01,2026-05-30
5017,ONSLOW AIRPORT,-21.669,115.109,WA,,9647,9355,97.0,2000-01-01,2026-05-30
5018,PEEDAMULLAH,-21.85,115.617,WA,,9647,0,0.0,2000-01-01,2026-05-30
5020,NINGALOO,-22.698,113.674,WA,,9647,6726,69.7,2000-01-01,2026-05-30
5021,RANGE,-22.267,115.417,WA,,9647,0,0.0,2000-01-01,2026-05-30
5022,RED HILL,-21.975,116.065,WA,,9647,9556,99.1,2000-01-01,2026-05-30
5023,ROY HILL,-22.622,119.956,WA,,9647,1605,16.6,2000-01-01,2026-05-30
5024,VLAMINGH HEAD,-21.807,114.107,WA,,9647,0,0.0,2000-01-01,2026-05-30
5026,WITTENOOM,-22.242,118.336,WA,,9647,7177,74.4,2000-01-01,2026-05-30
5028,WYLOO,-22.691,116.233,WA,,9647,5625,58.3,2000-01-01,2026-05-30
5029,YALLEEN,-21.677,116.393,WA,,9647,9516,98.6,2000-01-01,2026-05-30
5030,YANREY,-22.506,114.794,WA,,9647,4218,43.7,2000-01-01,2026-05-30
5031,YARDIE CREEK,-21.887,114.009,WA,,9647,0,0.0,2000-01-01,2026-05-30
5032,YARRALOOLA HOMESTEAD,-21.57,115.879,WA,,9647,6918,71.7,2000-01-01,2026-05-30
5033,KOORDARRIE,-22.342,114.932,WA,,9647,1994,20.7,2000-01-01,2026-05-30
5034,MOUNT STUART,-22.456,116.051,WA,,9647,8707,90.3,2000-01-01,2026-05-30
5035,TAMBREY,-21.6,117.6,WA,,9647,0,0.0,2000-01-01,2026-05-30
5036,GLEN FLORRIE STATION,-22.937,115.983,WA,,9647,8269,85.7,2000-01-01,2026-05-30
5040,BALMORAL,-21.159,116.12,WA,,9647,8435,87.4,2000-01-01,2026-05-30
5045,GIRALIA,-22.685,114.367,WA,,9647,6479,67.2,2000-01-01,2026-05-30
5048,NANUTARRA,-22.54,115.498,WA,,9647,0,0.0,2000-01-01,2026-05-30
5051,EXMOUTH TOWN,-21.93,114.126,WA,,9647,8632,89.5,2000-01-01,2026-05-30
5052,KARRATHA STATION,-20.883,116.672,WA,,9647,5129,53.2,2000-01-01,2026-05-30
5053,EAST INTERCOURSE ISLAND,-20.655,116.679,WA,,9647,0,0.0,2000-01-01,2026-05-30
5058,BARROW ISLAND,-20.821,115.393,WA,,9647,2,0.0,2000-01-01,2026-05-30
5061,DAMPIER SALT,-20.728,116.748,WA,,9647,9240,95.8,2000-01-01,2026-05-30
5064,SAND HILL,-22.782,119.617,WA,,9647,0,0.0,2000-01-01,2026-05-30
5066,UAROO,-22.781,115.372,WA,,9647,3820,39.6,2000-01-01,2026-05-30
5068,BULLARA,-22.681,114.039,WA,,9647,5070,52.6,2000-01-01,2026-05-30
5069,PANNAWONICA,-21.639,116.331,WA,,9647,9006,93.4,2000-01-01,2026-05-30
5070,ROBE,-21.357,115.821,WA,,9647,8576,88.9,2000-01-01,2026-05-30
5071,PINDRAL OUTCAMP,-21.344,115.936,WA,,9647,8873,92.0,2000-01-01,2026-05-30
5072,TOM PRICE,-22.697,117.77,WA,,9647,4032,41.8,2000-01-01,2026-05-30
